"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $1.68/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode"
"0x9fb64fa3ce21a133aef0a730747ba5c2265e3a24d6ec3ccfa1cd0998f425bcc1","16782473","1631232920","2021-09-10 00:15:20","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00937833650875","0.0157556053347","","","",""
"0xac0e30b14e834e8228ac02f0a1d868174a19bd9b00d360f87ebd7e49c63c1982","16782477","1631232923","2021-09-10 00:15:23","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00828477103375","0.0139184153367","","","",""
"0xe8280763ee97f145477589efbc3cf7aefa139734d7a900765aeab66f4c1e865b","16782512","1631232962","2021-09-10 00:16:02","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00363622671165","0.006108860875572","","","",""
"0x85ee7db57e1be059abefc78ea2761801e62ed5e5129f891af11cd6b903360eed","16782526","1631232976","2021-09-10 00:16:16","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0020715738045","0.00348024399156","","","",""
"0x2bc2ac32beed8882eb4f8a60fc7993e87955a9d67a909095b3f6b1db0d05a6ec","16782541","1631232991","2021-09-10 00:16:31","0x978923b244cc1e8586104118b55f295b41dbb140","0x0d4c98901563ca730332e841edbcb801fe9f2551","","0","0","0","0.0098143520525","0.0164881114482","","","",""
"0xe5f00233d5af816c324dbff0269e9914029afebb9147a1e2fa0dbbb230c37c88","16782853","1631233297","2021-09-10 00:21:37","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0x919780b6d25f37667bd6a364286d476166f4af12bd49ff643d69092008e7e76d","16782860","1631233311","2021-09-10 00:21:51","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0x4bc366648863018699dec79d34940b13ad8b366741281ef7d303b5c935c44018","16782863","1631233314","2021-09-10 00:21:54","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0xee12ccfbe8ba088f127bf3343c58a7bc049f63b78f8fe9f984b12d2a8179099f","16782866","1631233316","2021-09-10 00:21:56","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0x8ce34e86a83e433844dd02e02d20e8a612033d91b32d7588f1a990f2bfbad846","16782869","1631233320","2021-09-10 00:22:00","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0xd24b67bc1e9e3d83e07de6052c50ffba8c9fa0357f32096930a869178b1fa55b","16782869","1631233320","2021-09-10 00:22:00","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00779188772875","0.0130903713843","","","",""
"0xfd37b250ca31acac21421e94abaac992375f6afa5245bb2b824479688b0d1076","16782872","1631233323","2021-09-10 00:22:03","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00784201321375","0.0131745821991","","","",""
"0xb6be2d5b3ee4cfa253ff3f40a31d894ea67b353ed21f69b201f67191e0e7474d","16782875","1631233327","2021-09-10 00:22:07","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00784201321375","0.0131745821991","","","",""
"0xc1418ea10ac805a282154b89908a2a592a3b202e88956d35a3818c15a837e75b","16782878","1631233329","2021-09-10 00:22:09","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00784201321375","0.0131745821991","","","",""
"0x9df09234f93f3ef1e4a383bd87212b5c368cbffdf906a30e77822db54526c5e9","16782881","1631233332","2021-09-10 00:22:12","0x978923b244cc1e8586104118b55f295b41dbb140","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00784201321375","0.0131745821991","","","",""
"0x6373d626533f07371780764982516741f776918c3324d0191a7046a253c6752a","16782917","1631233361","2021-09-10 00:22:41","0x978923b244cc1e8586104118b55f295b41dbb140","0x0d4c98901563ca730332e841edbcb801fe9f2551","","0","0","0","0.04055707920425","0.06813589306314","","","",""
